Alianza por la Vacunación,https://vacunacion.org/,November 2018,10/6/2019
American Academy of Pediatrics (AAP) - Immunization pages,https://www.aap.org/en-us/advocacy-and-policy/aap-health-initiatives/immunizations/Pages/Immunizations-home.aspx,April 2016,10/6/2019
Argentina safe vaccination,https://www.argentina.gob.ar/salud/inmunoprevenibles/vacunacion-segura,November 2018,10/6/2019
Asociación Española de Vacunología (AEV),https://www.vacunas.org/,June 2016,10/6/2019
AusVaxSafety,http://www.ausvaxsafety.org.au/,June 2019,10/6/2019
Berufsverband der Kinder - und Jugendärzte (BVKJ) e.V.,https://www.kinderaerzte-im-netz.de/startseite,July 2016,10/6/2019
CANImmunize,https://learn.canimmunize.ca/en/knowledge-centre,November 2018,10/6/2019
CANVax,https://canvax.ca/,April 2019,10/6/2019
"Caring for Kids (CfK), Canadian Paediatric Society (CPS)",https://www.caringforkids.cps.ca/handouts/immunizations-index,January 2019,10/6/2019
"Centers for Disease Control and Prevention (CDC), US",https://www.cdc.gov/vaccinesafety/index.html,March 2016,10/6/2019
Centre National de Pharmacovigilance et de Matériovigilance,http://www.cnpm.org.dz/,December 2018,10/6/2019
China National Immunization Programme,http://nip.chinacdc.cn/,June 2017,10/6/2019
Clinical Pharmacist.gr,https://clinicalpharmacist.gr/immunizations/,July 2017,10/6/2019
Colorado Children’s Immunization Coalition (CCIC),https://www.childrensimmunization.org/,February 2019,10/6/2019
Comité Asesor de Vacunas de la Asociación Española de Pediatría,https://vacunasaep.org/,June2016,10/6/2019
"Croatian Institute of Public Health, Epidemiology and Immunization",https://www.hzjz.hr/sluzba-epidemiologija-zarazne-bolesti/,December 2017,10/6/2019
EpiCentro,https://www.epicentro.iss.it/,February 2016,10/6/2019
Ghana Food and Drugs Authority,https://fdaghana.gov.gh/index.php/vaccine-safety/,July 2019,10/6/2019
Global Advisory Committee on Vaccine Safety (GACVS),https://www.who.int/vaccine_safety/committee/en/,February 2016,10/6/2019
Government of Canada - Public Health,https://www.canada.ca/en/public-health/topics/immunization-vaccines.html,February 2016,10/6/2019
Health Center of Sarajevo Canton - Javna ustanova Dom zdravlja Kantona Sarajevo,http://judzks.ba/Sidemenu/Savjetiinovostiozdravlju/Vakcinacija.aspx,May 2017,10/6/2019
HPV Prevention and Control Board,https://www.uantwerpen.be/en/projects/hpv-prevention-control-board/,May 2019,10/6/2019
HSE - National Immunisation Programme of the Health Service Executive of Ireland,https://www.hse.ie/eng/health/immunisation/,June 2016,10/6/2019
I Boost Immunity,https://iboostimmunity.com/,April 2017,10/6/2019
IAP Advisory Committee On Vaccines & Immunization Practices,http://www.acvip.org/,February 2019,10/6/2019
Immunisation Advisory Centre (IMAC),http://www.immune.org.nz/,April 2017,10/6/2019
Immunise Australia Program,https://www.health.gov.au/health-topics/immunisation,January 2019,10/6/2019
Immunization Academy,https://www.immunizationacademy.com/en/learn,August 2019,10/6/2019
Immunization Action Coalition (IAC),https://www.immunize.org/,June 2016,10/6/2019
Immunize Canada,https://immunize.ca/,May 2017,10/6/2019
ImmunizeBC,https://immunizebc.ca/,September 2018,10/6/2019
Impfkontrolle.de,http://www.impfkontrolle.de/,October 2016,10/6/2019
InfoVac,https://www.infovac.ch/fr/,January 2019,10/6/2019
Infovac-France,https://www.infovac.fr,June 2019,10/6/2019
Institute for Public Health of the Federation of Bosnia and Herzegovina,https://www.zzjzfbih.ba/sluzba-za-epidemiologiju-2/,October 2017,10/6/2019
"Institute for Vaccine Safety, Johns Hopkins Bloomberg School of Public Health",http://www.vaccinesafety.edu/,December 2018,10/6/2019
IoVaccino,http://www.iovaccino.it,August 2019,10/6/2019
Kids Boost Immunity,https://kidsboostimmunity.com/,July 2018,10/6/2019
Melbourne Vaccine Education Centre,https://mvec.mcri.edu.au/,March 2019,10/6/2019
MesVaccins.net,https://www.mesvaccins.net/,February 2019,10/6/2019
Ministry of Health of the Kingdom of Bahrain,https://www.moh.gov.bh/HealthInfo/Immunizations,June 2019,10/6/2019
Murcia Salud,http://www.murciasalud.es/vacunaciones////,May 2017,10/6/2019
National Centre for Immunisation Research and Surveillance of Vaccine Preventable Diseases (NCIRS),http://www.ncirs.org.au/,December 2018,10/6/2019
Network for Education and Support in Immunisation (NESI),http://www.nesi.be/,July 2018,10/6/2019
NHS Inform - Immunisation,https://www.nhsinform.scot/immunisation,October 2018,10/6/2019
NITAG Resource Center,http://www.nitag-resource.org/,September 2016,10/6/2019
Northern Rivers Vaccination Supporters,https://nrvs.info/,June 2016,10/6/2019
PATH's Vaccine Resource Library,http://www.vaccineresources.org/,March 2016,10/6/2019
"Paul-Ehrlich-Institut, PEI",http://www.pei.de/DE,January 2017,10/6/2019
Planeta Mamá,https://www.planetamama.com.ar/,April 2018,10/6/2019
Portuguese Society of Pediatrics,http://www.spp.pt/,May 2019,10/6/2019
Public Health England - Immunisation section,https://www.gov.uk/government/collections/immunisation,December 2017,10/6/2019
Public Health Institute of Chile (ISP) / Vaccine Pharmacovigilance,http://www.ispch.cl/anamed_/farmacovigilancia/nram/farmacovigilancia_vacunas/,June 2019,10/6/2019
Rijksvaccinatieprogramma (RVP),https://rijksvaccinatieprogramma.nl/,June 2016,10/6/2019
Robert Koch Institute,http://www.rki.de/DE/Content/Infekt/Impfen/impfen_node.html,January 2017,10/6/2019
Rokottaminen - Finland,https://thl.fi/en/web/vaccination,April 2019,10/6/2019
Rund-ums-Baby.de / Impfschutz für Kinder,https://www.rund-ums-baby.de/impfen/,December 2018,10/6/2019
Slovenia National Institute of Public Health,http://nijz.si/sl/podrocja-dela/nalezljive-bolezni/cepljenje,November 2018,10/6/2019
Sociedade Brasileira de Imunizações (SBIm),https://sbim.org.br/,August 2017,10/6/2019
Somos Mamás,https://www.somosmamas.com.ar/,December 2018,10/6/2019
Szczepienia.info,http://szczepienia.pzh.gov.pl/,January 2019,10/6/2019
The History of Vaccines - La Historia de las Vacunas,https://www.historyofvaccines.org/,July 2016,10/6/2019
The Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/vaccinationer/,March 2016,10/6/2019
VaccinarSì,https://www.vaccinarsi.org/,July 2017,10/6/2019
Vaccine Education Center at the Children's Hospital of Philadelphia,https://www.chop.edu/centers-programs/vaccine-education-center,April 2018,10/6/2019
Vaccine Knowledge Project,http://vk.ovg.ox.ac.uk/,April 2018,10/6/2019
Vaccine Safety - Public Health Ontario,https://www.publichealthontario.ca/en/BrowseByTopic/InfectiousDiseases/Pages/Vaccine-Safety.aspx,July 2019,10/6/2019
Vaccines Today,https://www.vaccinestoday.eu/,April 2018,10/6/2019
Vaccines411,https://vaccines411.ca/en/,December 2018,10/6/2019
VACFA,http://www.vacfa.uct.ac.za/,May 2017,10/6/2019
VACSATC - Oltásbiztonság,http://www.oltasbiztonsag.hu/,August 2017,10/6/2019
Viral Hepatitis Prevention Board,http://www.vhpb.org/,March 2017,10/6/2019
YaPrivit.ru,https://yaprivit.ru/,October 2016,10/6/2019
